"image","Sum_Length","Avg_Branch_pathlength","Avg_Width","Avg_Depth","Avg_Partition_asymmetry","Avg_Contraction","Avg_Fractal_Dim","Avg_Bif_ampl_remote","cell","duration_mean","slope_mean","spike_width","temperature","kv11"
"20200816_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"01168501",0.768201111111111,0.209719543142113,1.10666666666667,27.57854616642,"positive"
"20200102_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"045810e0",0.255672571428571,0.0119141340705355,1.92942857142857,30.0221440818284,"positive"
"20191230_6_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"0976f281",0.04576,0.0136067536492544,2.48363636363636,24.8888612315059,"positive"
"20200815_3_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"0b0b579e",0.380184,0.0427099824616997,1.208,29.0522242459384,"positive"
"20200815_1_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"0db02609",1.74758,0.0927256478684769,2.01875,28.9760543107986,"positive"
"20200819_1_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"21f82c25",1.6874425,0.166711621166622,1.97194444444444,29.0214930057526,"positive"
"20191229_1_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"24eaa106",1.51215666666667,0.295655088498798,2.40125,-1.5697193145752,"positive"
"20200819_1_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"2d21b861",1.55058923076923,0.113583453705424,1.75307692307692,29.4145836088392,"positive"
"20200818_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"328b1402",0.15762625,0.00845608115917887,1.945625,-1.56305016279221,"positive"
"20200816_6_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"3e71b764",1.65973098484849,0.192711665345518,1.43477272727273,29.3329223632812,"positive"
"20200102_3_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"40000be7",1.50490492424242,0.18977867672897,2.08674242424242,29.4162756840388,"positive"
"20191231_3_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"42862924",0.677703636363636,0.00909270524789183,2.13090909090909,29.2821172475815,"positive"
"20191229_5_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"43d81272",0.755900909090909,0.0361526819767895,2.65169642857143,-1.58080884761044,"positive"
"20200120_4_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"494292e4",1.8612005,0.128099995450709,3.26183333333333,29.1473476546151,"negative"
"20200816_5_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"537694a8",1.64515442857143,0.405298211506205,1.21363636363636,29.2923735426022,"positive"
"20200102_1_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"54728067",1.52720054545455,0.167985055740833,1.91227272727273,29.4881880283356,"positive"
"20200102_3_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"5cd8048c",1.75702666666667,0.0833683709855866,2.28666666666667,29.311793923378,"positive"
"20200102_5_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"630b6977",1.899748,0.0973612262363508,1.922,28.8547458648682,"negative"
"20191228_3_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"64d9d925",1.65922666666667,0.24968525072091,1.63066666666667,31.1196272373199,"negative"
"20200102_1_3",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"6585b98b",0.758162,0.0168439135203157,1.966,29.8817408084869,"positive"
"20191231_6_3",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"65d810a4",0.733134,0.0417536997028356,1.861,29.4035854935646,"positive"
"20191230_7_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"66c3aaa8",1.62414909090909,0.164349707473036,3.06363636363636,-1.57463230192661,"positive"
"20191230_3_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"7747dbae",1.09986566666667,0.239835405699888,1.919375,-1.58540822193027,"negative"
"20191230_8_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"79762c70",1.67334570512821,0.196192039668851,2.01283333333333,-1.5853055951496,"negative"
