"cell","duration_mean","slope_mean","spike_width","temperature","image","kv11"
"01168501",0.768201111111111,0.209719543142113,1.10666666666667,27.57854616642,"20200816_2_1","positive"
"045810e0",0.255672571428571,0.0119141340705355,1.92942857142857,30.0221440818284,"20200102_2_1","positive"
"0976f281",0.04576,0.0136067536492544,2.48363636363636,24.8888612315059,"20191230_6_1","positive"
"0b0b579e",0.380184,0.0427099824616997,1.208,29.0522242459384,"20200815_3_1","positive"
"0db02609",1.74758,0.0927256478684769,2.01875,28.9760543107986,"20200815_1_1","positive"
"21f82c25",1.6874425,0.166711621166622,1.97194444444444,29.0214930057526,"20200819_1_2","positive"
"24eaa106",1.51215666666667,0.295655088498798,2.40125,-1.5697193145752,"20191229_1_1","positive"
"2d21b861",1.55058923076923,0.113583453705424,1.75307692307692,29.4145836088392,"20200819_1_1","positive"
"328b1402",0.15762625,0.00845608115917887,1.945625,-1.56305016279221,"20200818_2_1","positive"
"3e71b764",1.65973098484849,0.192711665345518,1.43477272727273,29.3329223632812,"20200816_6_1","positive"
"40000be7",1.50490492424242,0.18977867672897,2.08674242424242,29.4162756840388,"20200102_3_1","positive"
"42862924",0.677703636363636,0.00909270524789183,2.13090909090909,29.2821172475815,"20191231_3_1","positive"
"43d81272",0.755900909090909,0.0361526819767895,2.65169642857143,-1.58080884761044,"20191229_5_1","positive"
"494292e4",1.8612005,0.128099995450709,3.26183333333333,29.1473476546151,"20200120_4_1","negative"
"537694a8",1.64515442857143,0.405298211506205,1.21363636363636,29.2923735426022,"20200816_5_1","positive"
"54728067",1.52720054545455,0.167985055740833,1.91227272727273,29.4881880283356,"20200102_1_2","positive"
"5cd8048c",1.75702666666667,0.0833683709855866,2.28666666666667,29.311793923378,"20200102_3_2","positive"
"630b6977",1.899748,0.0973612262363508,1.922,28.8547458648682,"20200102_5_2","negative"
"64d9d925",1.65922666666667,0.24968525072091,1.63066666666667,31.1196272373199,"20191228_3_1","negative"
"6585b98b",0.758162,0.0168439135203157,1.966,29.8817408084869,"20200102_1_3","positive"
"65d810a4",0.733134,0.0417536997028356,1.861,29.4035854935646,"20191231_6_3","positive"
"66c3aaa8",1.62414909090909,0.164349707473036,3.06363636363636,-1.57463230192661,"20191230_7_1","positive"
"7747dbae",1.09986566666667,0.239835405699888,1.919375,-1.58540822193027,"20191230_3_1","negative"
"79762c70",1.67334570512821,0.196192039668851,2.01283333333333,-1.5853055951496,"20191230_8_1","negative"
"7989d4d3",1.62228461538462,0.230766112213343,2.40307692307692,-1.58132904022932,"20191229_2_1","negative"
"7f5eb7b3",1.54340142857143,0.270855069741181,2.516,-1.57996659353375,"20191229_1_2","positive"
"7fb68455",1.134202,0.0899628475032862,1.75254545454545,29.137757062912,"20200819_2_3","positive"
"85f27ccf",1.26358110294118,0.0882103984188106,1.80139705882353,28.9818731307983,"20200819_4_1","positive"
"8973d0fb",0.690192727272727,0.0224982956791655,2.05818181818182,29.4102887511253,"20200120_5_1","positive"
"9f030412",0.68481,0.0408987534333718,2.37333333333333,31.4100705385208,"20191226_1_1","positive"
"ac53609a",1.73206494949495,0.0528356612089679,1.74313131313131,29.6635834058126,"20200816_1_1","positive"
"aca29a76",1.49908958333333,0.200067584801246,2.17416666666667,29.2540493011475,"20200120_2_1","positive"
"c2d2838b",0.852718,0.0692386734254828,1.604,29.4263114929199,"20200816_6_3","positive"
"c31e8e0d",1.77463636363636,0.174669894326291,1.74181818181818,26.9004558324814,"20191231_7_1","positive"
"c81a643a",1.71382636363636,0.134469867022745,3.12,-1.57779088616371,"20191231_6_1","positive"
"d7d37555",1.68909,0.166944611489457,1.54333333333333,31.035985827446,"20191228_1_1","positive"
"dcdcb067",1.2982308974359,0.0626070702029152,1.89865384615385,29.4689357280731,"20200819_2_1","positive"
"e218e147",1.67577702380952,0.182139653005499,1.62558974358974,29.0586957886105,"20200815_2_1","negative"
"e26de824",0.953232197802198,0.0484061220675947,2.00087912087912,29.2926244861201,"20200818_3_2","negative"
"e4ba09bb",1.74239384615385,0.118644428078546,1.91230769230769,28.9137108325958,"20191231_6_2","negative"
"e90fda4c",1.90549546218487,0.183049194340269,1.14626050420168,29.3208080768585,"20200819_2_2","negative"
"edf6ad9b",1.23845,0.137065300820183,3.14714285714286,-1.55335229039192,"20200819_4_3","positive"
"f011f9b7",1.60096857142857,0.212944372066206,2.51142857142857,28.717205397288,"20200816_6_2","positive"
"f077af1b",1.113058,0.113366420334581,2.10545454545455,26.7369903564453,"20191231_7_2","positive"
"f662312c",1.85103857142857,0.1731695118192,1.85142857142857,29.0874251127243,"20200102_5_1","negative"
